                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.86881,                0.68222,                 1.0658,                0.92511,                0.87118,                0.95009,                0.70984,                0.85741,                0.56802,                 1.0038,              0.0016766,              0.0016766,              0.0016766
                     52,                0.85913,                 0.6704,                 1.0746,                0.93837,                0.89083,                0.95514,                0.73361,                0.82179,                0.52566,                 1.0043,                0.00167,                0.00167,                0.00167
                     53,                 0.8568,                0.65781,                 1.0608,                0.93254,                0.84716,                0.93332,                0.70438,                0.84608,                0.59357,                 1.0208,              0.0016634,              0.0016634,              0.0016634
                     54,                0.84603,                0.65105,                 1.0653,                0.93437,                0.88428,                0.94737,                0.71396,                0.85632,                0.54864,                 1.0246,              0.0016568,              0.0016568,              0.0016568
                     55,                0.86067,                0.66243,                 1.0566,                0.88876,                0.86463,                0.94572,                0.72446,                0.81413,                0.55538,                 1.0047,              0.0016502,              0.0016502,              0.0016502
                     56,                0.83784,                 0.6362,                 1.0399,                0.93746,                0.86681,                0.93946,                0.72171,                0.80925,                0.58123,                 0.9885,              0.0016436,              0.0016436,              0.0016436
                     57,                0.85364,                 0.6693,                 1.0696,                0.89626,                0.87118,                0.93392,                 0.7255,                0.79975,                0.56284,                0.99368,               0.001637,               0.001637,               0.001637
                     58,                0.82677,                 0.6289,                 1.0406,                0.92934,                0.86245,                0.94011,                0.72298,                0.82572,                0.55732,                 1.0053,              0.0016304,              0.0016304,              0.0016304
                     59,                0.85433,                 0.6641,                 1.0655,                0.92097,                0.89055,                 0.9509,                 0.7369,                0.78475,                0.52546,                0.97887,              0.0016238,              0.0016238,              0.0016238
                     60,                 0.8112,                0.61601,                 1.0326,                0.90902,                0.87555,                0.94957,                0.73683,                0.80622,                 0.5292,                0.98754,              0.0016172,              0.0016172,              0.0016172
                     61,                0.85372,                0.65627,                 1.0665,                0.93668,                0.90175,                0.95061,                 0.7238,                0.82762,                0.54541,                 1.0094,              0.0016106,              0.0016106,              0.0016106
